"OrphaCode"|"AverageAgeOfOnset"|"AverageAgeOfDeath"|"InheritanceTypes"
352662|"All ages"|""|"Autosomal dominant"
352657|"Infancy, Neonatal"|""|"Autosomal dominant"
352641|"Adolescent, Childhood"|""|"Autosomal recessive"
352636|"Childhood"|"normal life expectancy"|"Not applicable"
352649|"Infancy, Neonatal"|""|"Autosomal recessive"
352596|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
352629|"Infancy, Neonatal"|"early childhood"|"Not applicable, Unknown"
352577|"Antenatal, Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
352587|"Infancy"|"No data available"|"Autosomal recessive"
352582|"Infancy, Neonatal"|""|"Autosomal recessive"
352731|"Infancy, Neonatal"|""|"Autosomal recessive"
352734|"Infancy, Neonatal"|""|"Autosomal recessive"
352737|"Infancy, Neonatal"|""|"Autosomal recessive"
352709|"Adult"|""|"Autosomal recessive"
352712|"Infancy, Neonatal"|""|"Autosomal recessive"
352718|"Childhood"|""|"Autosomal recessive"
352723|"Childhood"|""|"Autosomal recessive"
352665|"Infancy, Neonatal"|""|"Not applicable, Unknown"
352670|"All ages"|""|"Autosomal dominant"
352675|"Childhood"|""|"X-linked dominant"
352682|"Childhood, Infancy"|"No data available"|"Autosomal recessive"
353253|"Adult"|""|""
353220|"All ages"|""|"Autosomal dominant"
353217|""|""|"Autosomal recessive"
352763|"Adolescent, Adult, Childhood, Infancy"|""|"Not applicable"
352745|""|""|"Autosomal recessive"
353334|"Infancy, Neonatal"|""|""
353320|"Infancy"|""|"Autosomal recessive"
353327|"Infancy, Neonatal"|""|"Autosomal recessive"
353308|"Infancy"|"early childhood, infantile"|"Autosomal recessive"
353314|"Infancy, Neonatal"|"early childhood"|"Autosomal recessive"
353298|"Antenatal, Neonatal"|""|"Autosomal recessive"
353284|"Neonatal"|""|""
352403|"Infancy"|""|"Autosomal recessive"
352333|"Infancy, Neonatal"|""|"Autosomal recessive"
352328|"Infancy, Neonatal"|""|"Autosomal recessive"
352447|"All ages"|""|"Autosomal recessive"
352530|"Infancy, Neonatal"|""|"Autosomal recessive"
352563|"Infancy, Neonatal"|""|"Autosomal recessive"
352540|"All ages"|""|"Not applicable"
352479|"Childhood, Infancy"|""|"Autosomal recessive"
352470|"All ages"|""|"Autosomal dominant"
352490|"Infancy, Neonatal"|""|"Autosomal dominant"
294415|"Antenatal, Neonatal"|"infantile"|"Autosomal recessive"
294422|"All ages"|""|"Not applicable"
293987|"Childhood, Infancy"|""|"Unknown"
294016|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
294023|"Infancy, Neonatal"|"early childhood, late childhood"|"Autosomal recessive"
294026|"Neonatal"|"No data available"|"Unknown"
293964|"Infancy, Neonatal"|""|"Autosomal dominant"
293967|""|""|"Autosomal recessive"
293978|"Childhood"|"No data available"|"Autosomal dominant"
293958|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
293955|"Infancy, Neonatal"|""|"Autosomal recessive"
293948|"No data available"|"normal life expectancy"|"Unknown"
293939|"Infancy, Neonatal"|"No data available"|"X-linked recessive"
293936|"Childhood, Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant"
293925|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
293864|"Infancy, Neonatal"|"early childhood"|"Autosomal recessive"
293843|"Antenatal, Neonatal"|"No data available"|"Autosomal recessive"
293830|"Infancy, Neonatal"|""|""
293825|"Infancy, Neonatal"|""|"Autosomal dominant"
293812|"All ages"|""|"Not applicable"
293815|"All ages"|""|"Not applicable"
293807|"All ages"|"No data available"|"Not applicable"
293725|"Infancy, Neonatal"|""|"Unknown"
293642|"Infancy, Neonatal"|""|"Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
293707|"Infancy, Neonatal"|""|"X-linked recessive"
295000|"Antenatal, Neonatal"|""|""
294963|"Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant"
294971|"Antenatal"|"infantile, stillbirth"|""
289863|"All ages"|""|"Unknown"
289877|"Neonatal"|"any age"|""
289916|"Infancy, Neonatal"|""|"Autosomal recessive"
289661|"Adult, Elderly"|"elderly"|"Not applicable"
289857|"Infancy, Neonatal"|""|"Autosomal recessive"
289860|"Infancy, Neonatal"|""|"Autosomal recessive"
289573|""|""|"Autosomal recessive"
289560|"Adolescent, Adult, Childhood"|"adult, young Adult"|"Autosomal recessive"
289553|"Infancy, Neonatal"|""|"Autosomal dominant"
289548|"Infancy, Neonatal"|"infantile"|"Autosomal recessive"
289539|"Adult"|""|"Autosomal dominant"
289601|"Adult"|"No data available"|"Autosomal recessive"
289596|"Adolescent, Childhood"|"No data available"|"Not applicable"
289586|"Infancy, Neonatal"|""|"Autosomal recessive"
293355|"All ages"|"early childhood"|"Autosomal dominant, Autosomal recessive, X-linked dominant"
293375|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
293381|"Childhood"|""|"Autosomal dominant"
293462|"Adult"|""|"Unknown"
293603|"Infancy, Neonatal"|""|"Autosomal recessive"
293621|"Infancy, Neonatal"|""|"X-linked recessive"
811|"Antenatal, Childhood, Infancy, Neonatal"|"adult, any age, early childhood, infantile, young Adult"|"Autosomal recessive"
741|""|""|"Autosomal dominant"
293168|"Infancy, Neonatal"|"adult"|"Autosomal recessive"
293165|"Childhood"|""|"Autosomal dominant, Autosomal recessive"
428|"All ages"|"normal life expectancy"|"Autosomal dominant"
293181|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
2298|"Adolescent, Adult, Childhood, Elderly"|"No data available"|"Not applicable"
2207|"Childhood"|""|"Autosomal dominant"
293173|"All ages"|"normal life expectancy"|"Multigenic/multifactorial, Not applicable"
293199|"Adolescent, Adult, Childhood, Elderly, Infancy"|""|""
393|"Adolescent, Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant"
293202|"Adolescent, Adult, Childhood"|"young Adult"|"Not applicable"
293284|"Infancy, Neonatal"|""|"Autosomal recessive"
293208|"Adolescent, Adult, Childhood, Elderly"|"any age"|"Not applicable"
2459|"All ages"|""|"Not applicable"
2404|"All ages"|""|"Not applicable"
2394|"Childhood"|"adolescent, late childhood"|"Autosomal recessive"
2356|"Childhood"|"normal life expectancy"|"Autosomal recessive, Not applicable"
829|"Adult, Elderly"|"normal life expectancy"|"Not applicable"
3096|"Adolescent, Adult, Childhood, Infancy"|"any age"|""
1929|"Childhood"|"normal life expectancy"|"Not applicable"
1183|"Childhood, Infancy"|"normal life expectancy"|"Not applicable"
2688|"Adult"|""|"Not applicable"
2686|"All ages"|""|"Autosomal dominant"
890|"All ages"|"any age"|"Not applicable"
176|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive, X-linked dominant, X-linked recessive"
231|"All ages"|"any age"|""
2035|"All ages"|""|"Not applicable"
284448|"Adult"|""|"Not applicable"
284454|"Adolescent, Adult"|""|"Not applicable"
284460|"Adult"|""|"Not applicable"
284414|"Adult"|""|""
284417|"Infancy, Neonatal"|""|"Autosomal dominant"
284426|"Childhood"|""|"Autosomal recessive"
284435|"Adult"|""|"Autosomal dominant, Autosomal recessive"
284973|"All ages"|"any age"|"Autosomal dominant"
284963|"All ages"|"any age"|"Autosomal dominant"
284984|"All ages"|""|"Autosomal dominant"
284979|"Infancy, Neonatal"|"infantile"|"Autosomal dominant"
289365|"All ages"|""|"Autosomal dominant"
289347|"Childhood"|""|"Not applicable"
289356|"Adolescent"|""|"Unknown"
289377|"Infancy, Neonatal"|"any age"|"Autosomal recessive"
289380|"Childhood"|""|"Autosomal recessive"
289290|"Childhood"|""|"Autosomal recessive"
289266|"Childhood"|""|"Autosomal dominant"
289326|"Adult"|""|"Not applicable"
289307|"Infancy, Neonatal"|""|"Autosomal recessive"
289504|"All ages"|""|"Autosomal dominant, Autosomal recessive"
289499|"Infancy, Neonatal"|""|"Autosomal recessive"
289494|"Adolescent, Adult, Childhood, Infancy"|"normal life expectancy"|""
289522|"Childhood"|"No data available"|""
289513|"Infancy, Neonatal"|""|""
289465|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant"
289390|""|""|"Not applicable"
289385|"Adult"|"any age"|""
289483|"Infancy, Neonatal"|""|"X-linked recessive"
289478|"Adult"|""|"No data available"
289176|"Childhood, Infancy"|""|"Autosomal recessive"
289157|"Infancy, Neonatal"|""|"Autosomal recessive"
280926|"Adolescent, Adult, Childhood, Elderly"|"normal life expectancy"|""
280921|"Adolescent, Adult, Childhood, Elderly"|""|"Not applicable"
280914|"Adolescent, Adult, Childhood, Elderly"|"normal life expectancy"|"Not applicable"
280898|"All ages"|"normal life expectancy"|"Not applicable"
280892|"All ages"|"normal life expectancy"|"Not applicable"
280886|"All ages"|"normal life expectancy"|"Not applicable"
281097|"Infancy, Neonatal"|""|"Autosomal recessive"
281090|"Childhood"|""|"X-linked recessive"
281210|""|""|"Not applicable, X-linked dominant, X-linked recessive"
281190|"Neonatal"|""|"Autosomal dominant"
281201|"Infancy, Neonatal"|""|"Autosomal recessive"
281139|"Infancy, Neonatal"|""|"Autosomal dominant"
281122|"Neonatal"|""|"Autosomal recessive"
281127|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive, Unknown"
280628|"Infancy, Neonatal"|""|"Autosomal dominant"
280633|"Infancy, Neonatal"|""|"Autosomal recessive"
280615|"Infancy, Neonatal"|""|"Autosomal dominant"
280598|"All ages"|""|"Autosomal dominant"
280620|"Childhood"|"No data available"|"Autosomal recessive"
280671|"Infancy, Neonatal"|""|"Autosomal recessive"
280640|"Infancy, Neonatal"|""|"Autosomal recessive"
280654|""|""|"Autosomal recessive"
280651|"Childhood"|""|"Autosomal dominant"
280779|"Adult"|""|"Not applicable"
280785|"Infancy, Neonatal"|""|"Not applicable"
280794|"Infancy, Neonatal"|""|"Not applicable"
280679|"All ages"|""|"X-linked recessive"
280763|"Infancy, Neonatal"|""|"Autosomal recessive"
280774|"Adolescent, Adult"|""|"Not applicable"
280840|"Antenatal, Neonatal"|"No data available"|""
280847|"Antenatal, Neonatal"|"No data available"|""
280854|"Antenatal, Neonatal"|"No data available"|""
280827|"Antenatal, Neonatal"|"No data available"|""
280832|"Antenatal, Neonatal"|"No data available"|""
284149|"Infancy, Neonatal"|""|"Autosomal recessive"
284139|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
284180|"Infancy, Neonatal"|"adult"|"X-linked recessive"
284169|"Infancy"|"No data available"|"Not applicable, Unknown"
284160|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant, Not applicable"
284247|"Childhood"|""|"Autosomal recessive"
284232|"Childhood"|""|"Autosomal dominant"
284227|"Adult"|""|""
284271|"Childhood"|""|"Autosomal recessive"
284264|"Adult"|""|"Not applicable"
284324|"Childhood"|""|"Autosomal recessive"
284282|"Infancy, Neonatal"|""|"Autosomal recessive"
284289|"Adult"|""|"Autosomal recessive"
284343|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
284332|"Infancy, Neonatal"|""|"Autosomal recessive"
284339|"Infancy, Neonatal"|""|"Autosomal recessive"
284388|"Adult"|""|"Not applicable"
284362|"Infancy, Neonatal"|""|""
284411|"Adolescent, Childhood"|""|""
284395|"All ages"|""|"Not applicable"
284400|"Adult"|"elderly"|"Not applicable"
282166|"Adult, Elderly"|"adult, elderly"|"Autosomal dominant"
309854|"Childhood"|"normal life expectancy"|"Autosomal recessive"
314029|"Childhood"|""|"Autosomal dominant"
314022|"Adult"|"adult"|"Autosomal dominant"
314017|""|""|"Unknown"
314002|"Infancy, Neonatal"|"No data available"|"No data available"
313947|"Infancy, Neonatal"|""|"Not applicable, Unknown"
313936|"Infancy, Neonatal"|""|"Not applicable"
313920|""|""|"Multigenic/multifactorial"
313906|"Infancy, Neonatal"|""|"Unknown"
313892|"Infancy, Neonatal"|"No data available"|"Autosomal dominant, Not applicable"
313884|"Infancy, Neonatal"|"No data available"|"Autosomal dominant, Not applicable"
313855|"Antenatal, Neonatal"|"infantile, stillbirth"|"Autosomal dominant"
313850|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
313846|"Infancy, Neonatal"|""|"Autosomal dominant"
313838|"Childhood"|""|"Autosomal recessive"
313800|"Childhood"|""|"Autosomal dominant"
313808|"Adult"|"adult"|"Autosomal dominant"
313781|"Infancy, Neonatal"|""|"Autosomal dominant, Not applicable"
313795|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
313772|"Childhood"|"No data available"|"Autosomal recessive"
314603|"Adolescent, Adult, Childhood"|"No data available"|"Autosomal recessive"
314597|"Infancy, Neonatal"|""|"Autosomal recessive"
314613|"Adult"|""|"Not applicable"
314575|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
314572|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
314588|"Infancy, Neonatal"|""|"Not applicable, Unknown"
314585|"Infancy, Neonatal"|""|"Not applicable, Unknown"
314485|"Adult"|""|"Autosomal recessive"
314566|"Adult"|"normal life expectancy"|"Unknown"
314555|"Infancy, Neonatal"|""|"Autosomal recessive"
314466|"Adult"|""|"Not applicable"
314459|"Adult"|""|"Not applicable"
314478|"Adult"|""|"Not applicable"
314473|"Adult"|""|"Not applicable"
314422|"All ages"|"any age"|"Not applicable"
314432|"Infancy, Neonatal"|""|"Not applicable"
314451|"Adult"|""|"Not applicable"
314394|"Infancy, Neonatal"|""|"Autosomal recessive"
314399|"Childhood"|""|"Autosomal dominant"
314404|"Adult"|""|"Autosomal dominant, Not applicable"
314419|"All ages"|""|"Not applicable"
314373|"Infancy, Neonatal"|""|"Autosomal dominant"
314376|"Neonatal"|"infantile"|"Autosomal recessive"
314381|"Infancy, Neonatal"|""|"Autosomal recessive"
314389|"Infancy, Neonatal"|""|"X-linked recessive"
314034|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
314051|"Infancy, Neonatal"|"No data available"|"No data available"
306682|"All ages"|"any age"|""
306674|"Adolescent, Childhood"|"adult"|""
306669|"Adolescent, Adult"|""|""
306741|"Adolescent, Adult, Childhood, Infancy, Neonatal"|"normal life expectancy"|"Not applicable"
306734|"Adult"|"No data available"|""
306731|"Adolescent, Adult, Childhood"|"any age"|""
308166|"Childhood, Infancy, Neonatal"|"normal life expectancy"|""
308410|""|""|"Autosomal recessive"
308425|"Childhood, Infancy"|"No data available"|""
307766|"Adolescent, Childhood"|"normal life expectancy"|""
307773|""|""|"Autosomal dominant"
307936|"Infancy, Neonatal"|"No data available"|""
307995|""|""|"Autosomal dominant"
309111|"Neonatal"|"No data available"|""
309031|"Infancy"|""|"Not applicable"
309108|"Infancy"|""|"Autosomal recessive"
309025|""|""|"Not applicable"
309015|"Childhood, Infancy"|"normal life expectancy"|""
309020|"Adolescent, Childhood"|"normal life expectancy"|"Autosomal recessive"
178|"Adult"|"any age"|"Autosomal dominant, Not applicable"
2637|"Antenatal, Infancy, Neonatal"|"adult"|"Autosomal recessive"
592|"Adolescent, Adult, Childhood, Elderly"|"normal life expectancy"|"Not applicable"
308552|"Antenatal, Infancy, Neonatal"|"early childhood, infantile"|"Autosomal recessive"
309271|"Adult"|"adult, elderly"|""
309246|"Infancy"|""|""
309256|"Infancy"|"early childhood"|""
309263|"Adolescent, Childhood"|"adolescent, late childhood, young Adult"|""
309324|"Antenatal, Neonatal"|""|"Autosomal recessive"
309331|""|""|"Autosomal recessive"
309334|"Infancy"|"normal life expectancy"|"Autosomal recessive"
309294|"All ages"|"any age"|"Autosomal recessive"
309297|"Childhood"|"adult"|"Autosomal recessive"
309310|""|""|"Autosomal recessive"
309147|"Neonatal"|"early childhood"|""
300547|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
300552|"Adult"|"No data available"|"Unknown"
300557|"Adult"|"adult"|"Not applicable"
300564|"Adult"|"adult"|"Not applicable"
300570|"Infancy, Neonatal"|""|"Autosomal dominant"
300573|"Infancy, Neonatal"|""|"Autosomal dominant"
300576|""|""|"Autosomal dominant"
300579|"All ages"|""|""
300496|"Antenatal, Infancy, Neonatal"|"infantile"|"X-linked recessive"
300501|"Adolescent"|"adult"|"Unknown"
300512|"All ages"|"normal life expectancy"|"Unknown"
300525|""|""|"Autosomal dominant, Autosomal recessive"
300530|""|""|"Autosomal dominant"
300536|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
300849|""|""|"Multigenic/multifactorial, Not applicable"
300846|"Adult"|""|""
300865|"Adolescent, Adult, Childhood"|"adult"|""
300857|"Adolescent, Adult, Childhood, Elderly"|""|"Multigenic/multifactorial, Not applicable"
300878|"Adult, Elderly"|"adult, elderly"|"Unknown"
300895|"Adolescent, Adult, Childhood"|""|"Not applicable"
300605|"Childhood"|"adult"|"Autosomal recessive"
300751|"Adult"|""|"Autosomal dominant"
300842|"Adult"|""|""
300903|"Adult"|""|"Not applicable"
300912|"Adult"|"adult, elderly"|""
306431|"Adult"|"No data available"|"Not applicable"
306550|"Infancy, Neonatal"|"early childhood"|"Autosomal recessive"
306553|"Adult"|""|"Not applicable"
306542|"Antenatal, Neonatal"|""|"Autosomal recessive"
306547|"Infancy, Neonatal"|""|"Autosomal recessive"
306530|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
306527|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
306516|"Childhood, Infancy"|"adult"|"Autosomal recessive"
306511|"Adult"|"No data available"|"Autosomal recessive"
306498|"All ages"|"any age"|"Autosomal dominant"
306504|"Infancy, Neonatal"|"early childhood"|"Autosomal recessive"
306661|""|""|"Autosomal recessive"
306658|"Infancy"|""|"Autosomal recessive"
306644|""|""|"Not applicable"
306617|""|""|"X-linked recessive"
306577|""|""|"Autosomal dominant"
306558|"Neonatal"|"early childhood"|"Autosomal recessive"
295195|""|""|"Autosomal dominant"
295217|""|""|"Unknown"
295219|""|""|"Unknown"
298644|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
300179|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
300319|"Adolescent, Adult"|"No data available"|"Autosomal dominant, Autosomal recessive"
300324|"No data available"|""|"Multigenic/multifactorial"
300313|"Infancy, Neonatal"|"adolescent, late childhood"|"Autosomal recessive"
300298|"Infancy, Neonatal"|"No data available"|"Unknown"
300305|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
300284|"Antenatal, Neonatal"|""|""
300293|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
300385|"All ages"|"any age"|"Unknown"
300493|"All ages"|""|"Multigenic/multifactorial"
300373|"Childhood, Infancy, Neonatal"|"No data available"|"X-linked dominant"
300382|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
300345|"Childhood"|"No data available"|"Autosomal dominant, Autosomal recessive"
300359|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant"
300333|"Adolescent"|"No data available"|"Autosomal recessive"
464724|"Infancy"|"normal life expectancy"|"Autosomal recessive"
464738|"Antenatal, Infancy, Neonatal"|""|"Autosomal recessive"
464760|"Adolescent, Adult"|"normal life expectancy"|"Autosomal dominant"
464756|"Adult"|"No data available"|"Autosomal recessive"
465508|"Adult"|"normal life expectancy"|"Autosomal recessive"
464282|"Infancy"|"No data available"|"Autosomal recessive"
464288|"Antenatal, Infancy, Neonatal"|"No data available"|"Autosomal recessive"
464306|"Infancy"|"No data available"|"Autosomal dominant, Not applicable, Unknown"
464329|"Childhood"|"No data available"|"Not applicable"
464321|"Infancy, Neonatal"|"early childhood, infantile"|"Not applicable"
464318|"Infancy, Neonatal"|"normal life expectancy"|"Not applicable"
464311|"Infancy, Neonatal"|"No data available"|""
464366|"Antenatal"|"stillbirth"|"Autosomal recessive"
464359|"All ages"|"normal life expectancy"|"Not applicable"
464343|"Adult"|"adult"|"Not applicable"
464336|"Infancy"|"normal life expectancy"|"Autosomal dominant"
464453|"All ages"|"normal life expectancy"|"Not applicable"
464443|"Neonatal"|"infantile"|"Autosomal recessive"
464440|"Adult, Childhood"|"No data available"|"Autosomal recessive"
464370|"Neonatal"|"normal life expectancy"|""
464458|"All ages"|"normal life expectancy"|"Not applicable"
639|"Adult"|""|"Unknown"
662|"Adult, Childhood, Neonatal"|"elderly"|""
537|"All ages"|""|"Not applicable"
793|"Adolescent, Adult, Elderly"|"normal life expectancy"|"Multigenic/multifactorial, Not applicable"
456298|"Neonatal"|"No data available"|"Not applicable"
456328|"Antenatal, Neonatal"|"No data available"|"Unknown"
456333|""|""|"Autosomal dominant"
456312|"Infancy"|"No data available"|"Autosomal recessive"
456318|"Adolescent, Adult"|"adult"|"Autosomal dominant"
454840|""|""|"Autosomal recessive"
454831|"All ages"|"any age"|"Not applicable"
454836|"All ages"|"any age"|"Not applicable"
454887|"Adult, Elderly"|"elderly"|""
454742|""|""|"Not applicable"
454723|"Adult, Elderly"|"adult, elderly"|"Not applicable"
454718|"Adult"|"normal life expectancy"|"Not applicable"
454714|"Adult, Elderly"|"adult, elderly"|"Not applicable"
454821|"All ages"|"any age"|"Not applicable"
454750|"Neonatal"|"No data available"|"Not applicable"
454745|"All ages"|"any age"|"Multigenic/multifactorial, Not applicable"
453533|"Childhood"|"No data available"|"Autosomal recessive"
453521|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
454710|"Adult, Elderly"|"normal life expectancy"|"Not applicable"
454706|"Adult"|"adult, elderly"|"Not applicable"
454700|"All ages"|"adult, elderly"|"Not applicable"
451602|"Adult, Elderly"|"normal life expectancy"|"Not applicable"
451607|"Adult, Elderly"|"normal life expectancy"|"Not applicable"
451612|"Antenatal, Neonatal"|"No data available"|"Autosomal recessive"
453499|"Infancy, Neonatal"|"No data available"|"Autosomal dominant, Not applicable"
453504|"Neonatal"|"No data available"|"Autosomal dominant, Not applicable"
453510|"Neonatal"|""|"Autosomal recessive"
450322|"Adolescent, Adult, All ages, Elderly"|"No data available, any age"|"Not applicable"
449566|"Adult"|"No data available"|"Not applicable"
449563|"Adult, Elderly"|"No data available"|"Not applicable"
449291|"Childhood, Infancy, Neonatal"|"normal life expectancy"|"X-linked dominant"
449400|"Adult, Elderly"|"No data available"|"Not applicable"
449395|"Adult, Elderly"|"No data available"|"Not applicable"
449432|"Adult, Elderly"|"No data available"|"Not applicable"
449427|"Adult, Elderly"|"No data available"|"Not applicable"
449280|"All ages"|"any age"|"Not applicable"
449285|"All ages"|"any age"|"Not applicable"
449266|"All ages"|"any age"|"Not applicable"
448264|"Childhood"|"normal life expectancy"|"Autosomal dominant"
448251|"Adolescent, Childhood, Infancy"|"normal life expectancy"|"Autosomal recessive"
448270|"Antenatal"|"infantile, stillbirth"|"Not applicable"
448267|"Neonatal"|"No data available"|"Autosomal recessive"
448010|"Infancy"|"No data available"|"Autosomal recessive"
447997|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
448242|"Childhood"|"normal life expectancy"|"Autosomal recessive"
448237|"All ages"|"adult"|"Not applicable"
447977|"Childhood, Infancy"|"normal life expectancy"|"Autosomal dominant"
447974|"Infancy"|"No data available"|"Autosomal recessive"
447980|"Antenatal, Neonatal"|"No data available"|"Unknown"
447954|"Neonatal"|"No data available"|"Autosomal recessive"
447964|"Adolescent, Adult, Elderly"|"No data available"|"Autosomal dominant"
447961|"Infancy"|"No data available"|"Autosomal recessive"
459033|"Childhood, Infancy"|"No data available"|"Autosomal recessive"
459051|"Childhood"|""|"Autosomal dominant"
459061|"Antenatal, Neonatal"|"early childhood, infantile"|"Autosomal recessive"
459056|"Childhood"|"No data available"|"Autosomal recessive"
459074|"Infancy, Neonatal"|"normal life expectancy"|"Unknown"
459070|"Infancy, Neonatal"|"No data available"|"X-linked recessive"
458718|"Adult"|"No data available"|"Not applicable"
458758|""|""|"Not applicable"
458763|"Adolescent, Adult"|"No data available"|"Not applicable"
458768|"Adolescent, Adult, Childhood, Elderly, Infancy"|"No data available"|"Not applicable"
458785|"Neonatal"|""|"Not applicable"
458792|"Infancy, Neonatal"|""|"Not applicable"
458798|"Adult"|"No data available"|"Autosomal dominant"
458803|"Adolescent, Adult, Childhood, Elderly"|"No data available"|"Autosomal dominant"
457485|"Infancy, Neonatal"|"early childhood"|"Autosomal dominant"
457265|"Childhood"|"young Adult"|"Autosomal recessive"
457279|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
457260|"Adolescent, Childhood"|"No data available"|"X-linked dominant"
457240|"Adolescent, Childhood, Infancy"|"No data available"|"X-linked recessive"
457246|"Adolescent, Adult, Childhood, Infancy"|""|"Not applicable"
457395|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
457406|"Infancy"|"early childhood, infantile"|"Autosomal recessive"
457375|"Infancy, Neonatal"|"early childhood, infantile"|"Autosomal recessive"
457378|"Antenatal"|"embryofetal, stillbirth"|"Autosomal recessive"
457359|"Neonatal"|"No data available"|"Autosomal recessive"
457365|"Infancy, Neonatal"|"No data available"|"Unknown"
457284|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
457351|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
457185|"Antenatal, Infancy, Neonatal"|"early childhood, infantile"|"Autosomal recessive"
457083|"Antenatal, Neonatal"|"normal life expectancy"|"No data available"
457077|"Adolescent, Adult, Elderly"|"adult, elderly"|"Not applicable"
457095|"All ages"|"any age"|"Not applicable"
457088|""|""|"Autosomal recessive"
457223|"Neonatal"|"No data available"|"Autosomal recessive"
457212|"Adolescent, Adult"|"normal life expectancy"|"Autosomal recessive"
457193|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
457205|"Infancy"|"early childhood, late childhood"|"Autosomal recessive"
456369|"Adolescent, Adult, Childhood, Elderly"|""|"Autosomal recessive"
457059|"Childhood, Infancy, Neonatal"|"normal life expectancy"|""
457050|"Childhood, Infancy"|"No data available"|"Autosomal dominant"
317|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
629|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
632|"Infancy, Neonatal"|""|"X-linked recessive"
248|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
1810|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
3437|"All ages"|"normal life expectancy"|"Multigenic/multifactorial"
2032|"Adult"|""|"Multigenic/multifactorial"
1303|"All ages"|"any age"|"Not applicable"
3348|"Adult, Childhood, Elderly"|"normal life expectancy"|"Unknown"
2902|"All ages"|"normal life expectancy"|"Not applicable"
1302|"Adolescent, Adult, Childhood, Elderly"|"normal life expectancy"|"Not applicable"
198|"Childhood, Infancy, Neonatal"|"adolescent, adult, any age, early childhood, late childhood, young Adult"|"X-linked recessive"
891|"Infancy, Neonatal"|"any age"|"Autosomal dominant, Autosomal recessive, X-linked recessive"
225|"All ages"|"any age"|"Mitochondrial inheritance"
466677|"All ages"|"any age"|"Not applicable"
466682|""|""|"Not applicable"
466688|"Neonatal"|"No data available"|"Autosomal recessive"
466695|"Neonatal"|"No data available"|"Not applicable"
466670|"All ages"|"normal life expectancy"|"Not applicable"
466650|"All ages"|"normal life expectancy"|"Multigenic/multifactorial"
466962|"Adult"|"adult"|"Not applicable"
466950|"Childhood, Infancy"|"No data available"|"Autosomal dominant, Not applicable"
466943|"Childhood, Infancy"|"No data available"|"Autosomal dominant, Not applicable, Unknown"
466926|"Infancy"|"normal life expectancy"|"Autosomal recessive"
466934|"Infancy"|"No data available"|"Autosomal recessive"
466921|"Childhood"|"normal life expectancy"|"Autosomal recessive"
466806|"Childhood"|"normal life expectancy"|"Autosomal dominant"
466801|"Childhood"|"normal life expectancy"|"Autosomal recessive"
466794|"Infancy"|"normal life expectancy"|"Autosomal recessive"
466791|"Infancy"|"normal life expectancy"|"X-linked recessive"
466784|"Infancy, Neonatal"|"infantile"|"Autosomal recessive"
466775|"Adolescent, Adult, Childhood"|"normal life expectancy"|"Autosomal recessive"
